train/test,epoch,loss/avg_loss,accuracy
train epoch,1,2.3054001331329346,-
train epoch,1,1.3597760200500488,-
train epoch,1,0.8428844809532166,-
train epoch,1,0.5870470404624939,-
train epoch,1,0.3686057925224304,-
train epoch,1,0.4685201346874237,-
train epoch,1,0.26267939805984497,-
train epoch,1,0.2828795909881592,-
train epoch,1,0.6013150811195374,-
train epoch,1,0.21643628180027008,-
train epoch,1,0.24565163254737854,-
train epoch,1,0.33039966225624084,-
train epoch,1,0.18661922216415405,-
train epoch,1,0.19751185178756714,-
train epoch,1,0.28026309609413147,-
train epoch,1,0.10321404784917831,-
train epoch,1,0.2729273736476898,-
train epoch,1,0.09813213348388672,-
train epoch,1,0.4551410973072052,-
train epoch,1,0.26448655128479004,-
train epoch,1,0.2648709714412689,-
train epoch,1,0.20965774357318878,-
train epoch,1,0.14499294757843018,-
train epoch,1,0.3835965394973755,-
train epoch,1,0.18041883409023285,-
train epoch,1,0.11887963861227036,-
train epoch,1,0.16945485770702362,-
train epoch,1,0.06961158663034439,-
train epoch,1,0.2219247668981552,-
train epoch,1,0.20296868681907654,-
train epoch,1,0.2680565118789673,-
train epoch,1,0.06185176223516464,-
train epoch,1,0.05289193242788315,-
train epoch,1,0.26753416657447815,-
train epoch,1,0.012827589176595211,-
train epoch,1,0.06475886702537537,-
train epoch,1,0.24677084386348724,-
train epoch,1,0.18089188635349274,-
train epoch,1,0.010619204491376877,-
train epoch,1,0.09856131672859192,-
train epoch,1,0.095667764544487,-
train epoch,1,0.10029581189155579,-
train epoch,1,0.3319295644760132,-
train epoch,1,0.23222368955612183,-
train epoch,1,0.11378239840269089,-
train epoch,1,0.1298159807920456,-
train epoch,1,0.04719381779432297,-
train epoch,1,0.12945951521396637,-
train epoch,1,0.039807628840208054,-
train epoch,1,0.14206494390964508,-
train epoch,1,0.19679982960224152,-
train epoch,1,0.13898926973342896,-
train epoch,1,0.0623713955283165,-
train epoch,1,0.019322426989674568,-
train epoch,1,0.019376462325453758,-
train epoch,1,0.1896732896566391,-
train epoch,1,0.1807522475719452,-
train epoch,1,0.04247930273413658,-
train epoch,1,0.11650456488132477,-
train epoch,1,0.12640787661075592,-
train epoch,1,0.1326587200164795,-
train epoch,1,0.04823965206742287,-
train epoch,1,0.024430396035313606,-
train epoch,1,0.09780009090900421,-
train epoch,1,0.09834397584199905,-
train epoch,1,0.14329326152801514,-
train epoch,1,0.07713633030653,-
train epoch,1,0.09428446739912033,-
train epoch,1,0.21420139074325562,-
train epoch,1,0.0505429245531559,-
train epoch,1,0.15469424426555634,-
train epoch,1,0.21453621983528137,-
train epoch,1,0.12584486603736877,-
train epoch,1,0.14658448100090027,-
train epoch,1,0.13332177698612213,-
train epoch,1,0.06948389858007431,-
train epoch,1,0.04056720435619354,-
train epoch,1,0.09246484190225601,-
train epoch,1,0.08622559905052185,-
train epoch,1,0.07391932606697083,-
train epoch,1,0.2581835985183716,-
train epoch,1,0.020513011142611504,-
train epoch,1,0.02251897007226944,-
train epoch,1,0.16661258041858673,-
train epoch,1,0.042611755430698395,-
train epoch,1,0.08724524825811386,-
train epoch,1,0.03470499441027641,-
train epoch,1,0.08130417764186859,-
train epoch,1,0.09740328043699265,-
train epoch,1,0.07853998988866806,-
train epoch,1,0.14593754708766937,-
train epoch,1,0.02953328751027584,-
train epoch,1,0.02512127161026001,-
train epoch,1,0.001095515675842762,-
test,-,0.04854701104164123,98.45
